,f,NR
0,377.0,10.797343862380302
1,397.28859060402687,11.454554633009778
2,417.5771812080537,12.663845546757202
3,437.86577181208054,12.545009876158474
4,458.1543624161074,10.752198640924533
5,478.44295302013427,9.08829270413193
6,498.7315436241611,9.51672386735845
7,519.020134228188,10.92005373719006
8,539.3087248322148,12.10668431896093
9,559.5973154362416,12.552240845309996
10,579.8859060402685,12.356072182012014
11,600.1744966442953,12.559621163907352
12,620.4630872483222,13.525397380972976
13,640.7516778523491,14.602835781080017
14,661.0402684563759,15.119084300138326
15,681.3288590604027,13.968818118031436
16,701.6174496644296,12.89268696362457
17,721.9060402684564,12.985347942589584
18,742.1946308724832,13.079419315637395
19,762.4832214765102,12.202038684956364
20,782.771812080537,11.651038352244711
21,803.0604026845638,11.67922304928507
22,823.3489932885907,11.27616832339777
23,843.6375838926175,11.089605903504975
24,863.9261744966443,11.111256635835218
25,884.2147651006712,10.834649592620522
26,904.503355704698,10.96524777701768
27,924.7919463087248,11.1163168819416
28,945.0805369127518,12.167875389746214
29,965.3691275167786,13.866821639731725
30,985.6577181208054,15.381620415097274
31,1005.9463087248323,16.49379749049497
32,1026.2348993288592,17.9859995544262
33,1046.523489932886,20.699580920711327
34,1066.8120805369128,24.4549677663355
35,1087.1006711409395,27.64181468203809
36,1107.3892617449665,30.04009346206128
37,1127.6778523489934,32.08992903125437
38,1147.9664429530203,32.66470126340003
39,1168.255033557047,34.5150123983461
40,1188.543624161074,32.815110923446184
41,1208.8322147651006,29.390008866738782
42,1229.1208053691275,25.717024692022676
43,1249.4093959731545,23.025906002273302
44,1269.6979865771814,20.89120564455206
45,1289.986577181208,18.59456583905323
46,1310.275167785235,15.618484406719062
47,1330.5637583892617,13.14794780542151
48,1350.8523489932886,12.12904541159979
49,1371.1409395973155,11.552544952223059
50,1391.4295302013425,10.314431427051971
51,1411.7181208053692,8.956951338143654
52,1432.006711409396,7.9058073348645905
53,1452.295302013423,7.238069893777009
54,1472.5838926174497,7.314253892260069
55,1492.8724832214766,7.151181910585194
56,1513.1610738255035,6.239789183272649
57,1533.4496644295302,5.308104116943724
58,1553.7382550335572,5.282235077578463
59,1574.026845637584,5.265316678603256
60,1594.3154362416108,5.105446188797302
61,1614.6040268456377,4.725768871985295
62,1634.8926174496646,4.199083825720052
