,f,TL
0,377.0,13.336024659150059
1,397.28859060402687,13.521487218264902
2,417.5771812080537,13.041369591555869
3,437.86577181208054,12.706251825526431
4,458.1543624161074,12.89485100886411
5,478.44295302013427,12.847212119064173
6,498.7315436241611,13.057471547850756
7,519.020134228188,13.218121142195526
8,539.3087248322148,13.545469343221868
9,559.5973154362416,13.49438795982696
10,579.8859060402685,14.114534711882726
11,600.1744966442953,15.442497587922702
12,620.4630872483222,16.419875878648476
13,640.7516778523491,17.452296295950244
14,661.0402684563759,18.60371068389155
15,681.3288590604027,19.97834718733094
16,701.6174496644296,21.078377042702478
17,721.9060402684564,22.959793657925104
18,742.1946308724832,22.896502423498024
19,762.4832214765102,21.933037875533348
20,782.771812080537,20.031916283469066
21,803.0604026845638,19.307531826925736
22,823.3489932885907,18.199590993768155
23,843.6375838926175,17.195883250341538
24,863.9261744966443,16.886517131467787
25,884.2147651006712,17.053450620374374
26,904.503355704698,16.61048734272206
27,924.7919463087248,16.86469820959954
28,945.0805369127518,16.829399558173144
29,965.3691275167786,16.321660166248307
30,985.6577181208054,14.979195834612572
31,1005.9463087248323,13.394399069870852
32,1026.2348993288592,12.0305770988917
33,1046.523489932886,10.711862877620156
34,1066.8120805369128,10.233043807806435
35,1087.1006711409395,10.014762108206678
36,1107.3892617449665,9.914290841081893
37,1127.6778523489934,9.881294127427783
38,1147.9664429530203,9.781678087589746
39,1168.255033557047,9.778673306816216
40,1188.543624161074,9.780084677800083
41,1208.8322147651006,9.48677741347883
42,1229.1208053691275,9.002240727655028
43,1249.4093959731545,8.453847591656631
44,1269.6979865771814,7.605412500847592
45,1289.986577181208,7.024495670292728
46,1310.275167785235,6.672529574387843
47,1330.5637583892617,6.333375360075242
48,1350.8523489932886,6.4483542238931
49,1371.1409395973155,6.6404603208443245
50,1391.4295302013425,6.661053402708558
51,1411.7181208053692,6.8515447975270325
52,1432.006711409396,7.069278961211589
53,1452.295302013423,6.825150939814641
54,1472.5838926174497,6.8524146614986865
55,1492.8724832214766,6.703081623372126
56,1513.1610738255035,6.366619846285754
57,1533.4496644295302,6.022334064451041
58,1553.7382550335572,5.736649686756399
59,1574.026845637584,5.450971223419431
60,1594.3154362416108,5.639400526203021
61,1614.6040268456377,5.785813538448741
62,1634.8926174496646,5.942793825629826
63,1655.1812080536913,6.1349047139984965
64,1675.4697986577182,6.239517914044875
65,1695.7583892617452,6.145667581257124
66,1716.0469798657718,6.375879599563338
67,1736.3355704697988,6.419693290708648
68,1756.6241610738257,6.223081709052738
69,1776.9127516778524,6.143158687989056
70,1797.2013422818793,5.796045000236379
71,1817.4899328859062,5.5963186023020794
72,1837.778523489933,5.635989759200348
73,1858.0671140939598,5.558980567997677
74,1878.3557046979868,5.841774828755456
75,1898.6442953020135,5.864273583152752
76,1918.9328859060404,5.981770639708689
77,1939.2214765100673,5.785450162691854
78,1959.510067114094,5.823596638409986
79,1979.798657718121,5.746578384039527
80,2000.0872483221478,5.707981267211605
81,2020.3758389261745,5.675944224827008
82,2040.6644295302015,5.344523485736544
83,2060.9530201342286,4.982585721720087
84,2081.241610738255,4.820692645094224
85,2101.530201342282,4.763969843270348
86,2121.818791946309,4.813847324910033
87,2142.1073825503354,4.889848179996682
88,2162.3959731543628,4.865809029839652
89,2182.6845637583892,4.7403476011886525
90,2202.973154362416,4.738112743875706
91,2223.261744966443,4.724485556285451
92,2243.55033557047,4.818939481051214
93,2263.838926174497,4.70614199980082
94,2284.1275167785234,4.620781142481453
95,2304.4161073825508,4.453492283008274
96,2324.7046979865772,4.287056778407504
97,2344.993288590604,4.152958166352947
98,2365.281879194631,4.229874332694821
99,2385.570469798658,4.247015536148483
100,2405.859060402685,4.11243603855261
101,2426.1476510067114,3.98681148515327
102,2446.4362416107383,3.8527516520449194
103,2466.7248322147652,3.8054596979180575
104,2487.013422818792,4.004215528284926
105,2507.302013422819,4.104275214565248
106,2527.590604026846,4.002644410982215
107,2547.8791946308725,3.871465530737226
108,2568.1677852348994,3.76310599298941
109,2588.4563758389263,3.643235261824444
110,2608.7449664429532,3.6431145655558392
111,2629.03355704698,3.6367221107270877
112,2649.322147651007,3.551941557977398
113,2669.6107382550335,3.4579924173216514
114,2689.8993288590605,3.45021535582167
115,2710.1879194630874,3.3980130726640043
116,2730.4765100671143,3.5073341515651895
117,2750.765100671141,3.57913676659311
118,2771.053691275168,3.561022916952974
119,2791.3422818791946,3.532628242298105
120,2811.6308724832215,3.3965401631067844
121,2831.9194630872485,3.3422601302650436
122,2852.2080536912754,3.306051962213355
123,2872.4966442953023,3.2804335315308224
124,2892.785234899329,3.284429277949419
125,2913.0738255033557,3.2845903128884695
126,2933.3624161073826,3.220587488283688
127,2953.6510067114095,3.233235431056178
128,2973.9395973154365,3.3067902965793157
129,2994.2281879194634,3.48197786587425
130,3014.5167785234903,3.631013784489194
131,3034.805369127517,3.7389758003658837
132,3055.0939597315437,3.785341355758956
133,3075.3825503355706,3.749939246297884
134,3095.6711409395975,3.791634305769869
135,3115.9597315436245,3.8990114521648
136,3136.2483221476514,4.017841882066286
137,3156.5369127516783,4.153987063478449
138,3176.8255033557048,4.301528040349209
139,3197.1140939597317,4.373533620425956
140,3217.4026845637586,4.502239243374203
141,3237.6912751677855,4.729253343960837
142,3257.9798657718125,4.978712308952872
143,3278.2684563758394,5.0929954774457755
144,3298.557046979866,5.172269812304737
145,3318.8456375838928,5.109144279848973
146,3339.1342281879197,4.757705436428707
147,3359.4228187919466,4.374398420984788
148,3379.7114093959735,3.775061163911348
149,3400.0,2.344426671617961
