,f,NR
0,377.0,9.296833863293074
1,397.28859060402687,8.083854352743458
2,417.5771812080537,7.519070946705256
3,437.86577181208054,7.42085446338514
4,458.1543624161074,8.248611492161245
5,478.44295302013427,8.956106795153943
6,498.7315436241611,9.438910659913802
7,519.020134228188,9.891399841567377
8,539.3087248322148,10.379752742166133
9,559.5973154362416,10.89039197396545
10,579.8859060402685,12.213707783391186
11,600.1744966442953,14.057931846676752
12,620.4630872483222,15.810531570711902
13,640.7516778523491,17.7209205604576
14,661.0402684563759,18.95347279291572
15,681.3288590604027,20.77662545923249
16,701.6174496644296,22.590804034972166
17,721.9060402684564,25.98646930980415
18,742.1946308724832,27.942806926080323
19,762.4832214765102,28.97512929186236
20,782.771812080537,29.1700765833597
21,803.0604026845638,30.60908396137978
22,823.3489932885907,30.680201006330662
23,843.6375838926175,30.300357891941673
24,863.9261744966443,28.57931711923385
25,884.2147651006712,26.48436443903003
26,904.503355704698,23.37701380110346
27,924.7919463087248,21.82748909812662
28,945.0805369127518,20.29164044731857
29,965.3691275167786,19.067212342252077
30,985.6577181208054,17.217372398302416
31,1005.9463087248323,15.263338942762061
32,1026.2348993288592,13.851386943511585
33,1046.523489932886,12.649734144333152
34,1066.8120805369128,12.077129192547986
35,1087.1006711409395,11.473971010906666
36,1107.3892617449665,10.322228689823262
37,1127.6778523489934,9.163896255873993
38,1147.9664429530203,8.585112552339837
39,1168.255033557047,8.022993173019842
40,1188.543624161074,7.912239513721715
41,1208.8322147651006,7.570681748294987
42,1229.1208053691275,6.792069889687468
43,1249.4093959731545,6.298615496439439
44,1269.6979865771814,5.897980667958137
45,1289.986577181208,5.6604384600640145
46,1310.275167785235,5.690450485554408
47,1330.5637583892617,5.375824625579071
48,1350.8523489932886,4.945718458649992
49,1371.1409395973155,4.724960033914556
50,1391.4295302013425,4.4090032384700635
51,1411.7181208053692,4.3627901921132235
52,1432.006711409396,4.578051386153348
53,1452.295302013423,4.2022699808938455
54,1472.5838926174497,3.9792592585869784
55,1492.8724832214766,3.827224152063465
56,1513.1610738255035,3.614102274800942
57,1533.4496644295302,3.6430518718867404
58,1553.7382550335572,3.7562789665810215
59,1574.026845637584,3.437274091006813
60,1594.3154362416108,3.313579257194135
61,1614.6040268456377,3.150997056943453
62,1634.8926174496646,2.945583731243744
63,1655.1812080536913,3.1110082459372848
64,1675.4697986577182,3.1397144385626206
65,1695.7583892617452,2.9318372623146445
66,1716.0469798657718,2.9277409030484307
67,1736.3355704697988,2.7717514246123187
68,1756.6241610738257,2.628729173637538
69,1776.9127516778524,2.885773434324136
70,1797.2013422818793,2.7967166229098837
71,1817.4899328859062,2.7796527982231822
72,1837.778523489933,2.961085420518131
73,1858.0671140939598,2.4789004733777915
74,1878.3557046979868,2.703360132396341
75,1898.6442953020135,2.668002569019393
76,1918.9328859060404,2.828484184935661
77,1939.2214765100673,2.5766153115613974
78,1959.510067114094,2.6358573130940073
79,1979.798657718121,2.4714806187699594
80,2000.0872483221478,2.4434536049184885
81,2020.3758389261745,2.675777970511959
82,2040.6644295302015,2.6406611319765148
83,2060.9530201342286,2.51862405682499
84,2081.241610738255,2.528077177841965
85,2101.530201342282,2.4619767317693686
86,2121.818791946309,2.469444637357441
87,2142.1073825503354,2.5935813457879675
88,2162.3959731543628,2.6287184886803914
89,2182.6845637583892,2.5420827464139677
90,2202.973154362416,2.4391776842814465
91,2223.261744966443,2.346746357176073
92,2243.55033557047,2.4446212370993834
93,2263.838926174497,2.4664580582951174
