,f,TL
0,377.0,3.508580584164798
1,397.28859060402687,6.006155004964768
2,417.5771812080537,7.778470882254505
3,437.86577181208054,8.499225667370931
4,458.1543624161074,8.828230347406775
5,478.44295302013427,9.017511518163692
6,498.7315436241611,8.698290550486073
7,519.020134228188,8.021171796273128
8,539.3087248322148,7.384604094558183
9,559.5973154362416,7.039970055989292
10,579.8859060402685,6.716118874253336
11,600.1744966442953,6.737621644304284
12,620.4630872483222,6.877730340345805
13,640.7516778523491,7.52499413021182
14,661.0402684563759,8.430747952717013
15,681.3288590604027,9.468088135952959
16,701.6174496644296,10.29497698904368
17,721.9060402684564,10.807218502531935
18,742.1946308724832,11.103705053702145
19,762.4832214765102,11.15922965864744
20,782.771812080537,11.166991939106666
21,803.0604026845638,11.384066263248727
22,823.3489932885907,11.65461276136709
23,843.6375838926175,12.483932753925979
24,863.9261744966443,13.67187731854578
25,884.2147651006712,14.519028294518552
26,904.503355704698,15.063310297739656
27,924.7919463087248,15.882242424291837
28,945.0805369127518,16.71294469512769
29,965.3691275167786,17.503271054637366
30,985.6577181208054,18.159578649888985
31,1005.9463087248323,19.288788138205398
32,1026.2348993288592,20.099371025402284
33,1046.523489932886,20.964941332450266
34,1066.8120805369128,21.612983882126716
35,1087.1006711409395,21.554597811562694
36,1107.3892617449665,20.882513598681406
37,1127.6778523489934,19.615849725474575
38,1147.9664429530203,17.52647761551078
39,1168.255033557047,16.302179104692975
40,1188.543624161074,15.349361564315426
41,1208.8322147651006,15.06726421040822
42,1229.1208053691275,15.276768466321581
43,1249.4093959731545,15.303697325620934
44,1269.6979865771814,14.98892793467171
45,1289.986577181208,14.402550217036605
46,1310.275167785235,13.543897503072104
47,1330.5637583892617,12.376823292921257
48,1350.8523489932886,11.335811220383466
49,1371.1409395973155,10.205808188594068
50,1391.4295302013425,9.487023574735007
51,1411.7181208053692,9.063847665346517
52,1432.006711409396,8.873438709109918
53,1452.295302013423,8.870166369677584
54,1472.5838926174497,9.042477951997405
