,f,TL
0,377.0,10.058173935176791
1,397.28859060402687,9.303694471618986
2,417.5771812080537,9.199245821701789
3,437.86577181208054,9.34046699681793
4,458.1543624161074,10.204201576744401
5,478.44295302013427,10.904826574048522
6,498.7315436241611,11.431765254025324
7,519.020134228188,11.917472388525308
8,539.3087248322148,12.276001123473293
9,559.5973154362416,12.415206990771177
10,579.8859060402685,13.254569206536864
11,600.1744966442953,14.688315421288795
12,620.4630872483222,16.37542659779482
13,640.7516778523491,18.545017941361554
14,661.0402684563759,20.163700516340025
15,681.3288590604027,22.31364117036781
16,701.6174496644296,24.360153924651783
17,721.9060402684564,27.937757253744387
18,742.1946308724832,30.05724448106289
19,762.4832214765102,31.17171828985753
20,782.771812080537,31.265377743503223
21,803.0604026845638,32.384115814525785
22,823.3489932885907,31.983907731424548
23,843.6375838926175,31.135790209850313
24,863.9261744966443,29.137975587024023
25,884.2147651006712,27.07348419350477
26,904.503355704698,24.252542278109583
27,924.7919463087248,23.098705014387328
28,945.0805369127518,22.022638421312376
29,965.3691275167786,21.191116372982528
30,985.6577181208054,19.5502557163771
31,1005.9463087248323,17.580303882205154
32,1026.2348993288592,15.900060863023535
33,1046.523489932886,14.248797980400118
34,1066.8120805369128,13.189753832403433
35,1087.1006711409395,12.196429599369477
36,1107.3892617449665,10.89921157747635
37,1127.6778523489934,9.889792369732843
38,1147.9664429530203,9.689926403474354
39,1168.255033557047,9.565110460050668
40,1188.543624161074,9.822798808240544
41,1208.8322147651006,9.70880277727472
42,1229.1208053691275,8.967737680537248
43,1249.4093959731545,8.304975363795819
44,1269.6979865771814,7.585474783738143
45,1289.986577181208,6.983003336091987
46,1310.275167785235,6.728503608220235
47,1330.5637583892617,6.305342778456824
48,1350.8523489932886,5.932767627759622
49,1371.1409395973155,5.874491343542816
50,1391.4295302013425,5.735635007050133
51,1411.7181208053692,5.860829831597059
52,1432.006711409396,6.251919103886503
53,1452.295302013423,6.044448420119649
54,1472.5838926174497,5.918253179360086
55,1492.8724832214766,5.721868626875526
56,1513.1610738255035,5.313499340340928
57,1533.4496644295302,5.06204579769884
58,1553.7382550335572,4.941046032621626
59,1574.026845637584,4.527578403536941
60,1594.3154362416108,4.456763734096535
61,1614.6040268456377,4.40092727720826
62,1634.8926174496646,4.282659831634214
63,1655.1812080536913,4.5164991695875365
64,1675.4697986577182,4.632434056443025
65,1695.7583892617452,4.560474400400144
66,1716.0469798657718,4.7039365752105375
67,1736.3355704697988,4.6172196336304765
68,1756.6241610738257,4.406734103780209
69,1776.9127516778524,4.468335647727626
70,1797.2013422818793,4.155685605507474
71,1817.4899328859062,3.9881184549035953
72,1837.778523489933,4.058406112899648
73,1858.0671140939598,3.693066723792198
74,1878.3557046979868,3.9600698513295853
75,1898.6442953020135,3.991029299641935
76,1918.9328859060404,4.1770125934528
77,1939.2214765100673,4.021120329806681
78,1959.510067114094,4.200530766957352
79,1979.798657718121,4.181688733781994
80,2000.0872483221478,4.207428968749418
81,2020.3758389261745,4.370618789936374
82,2040.6644295302015,4.159467387150865
83,2060.9530201342286,3.8695090960744567
84,2081.241610738255,3.76296971008316
85,2101.530201342282,3.7036643342008286
86,2121.818791946309,3.762574469907877
87,2142.1073825503354,3.920991589557637
88,2162.3959731543628,3.9806860254406833
89,2182.6845637583892,3.918458886048853
90,2202.973154362416,3.896045579828766
91,2223.261744966443,3.9266297121091926
92,2243.55033557047,4.1197778038160475
93,2263.838926174497,4.165190114147855
94,2284.1275167785234,4.086542644751243
95,2304.4161073825508,4.018545494280363
96,2324.7046979865772,3.9515875526765862
97,2344.993288590604,3.883284969932314
98,2365.281879194631,4.0132624005854876
99,2385.570469798658,4.105831719672595
100,2405.859060402685,4.116048996361575
101,2426.1476510067114,4.1229296521691
102,2446.4362416107383,4.194042137009164
103,2466.7248322147652,4.159800281583691
104,2487.013422818792,4.394424639956808
105,2507.302013422819,4.523171189890514
106,2527.590604026846,4.418896714670221
107,2547.8791946308725,4.241868707757832
108,2568.1677852348994,4.1173790334575875
109,2588.4563758389263,3.9892532227106208
110,2608.7449664429532,4.07744691696977
111,2629.03355704698,4.260585854528439
112,2649.322147651007,4.041300209569201
113,2669.6107382550335,3.811653663079068
114,2689.8993288590605,3.8207997862848044
115,2710.1879194630874,3.746486797329486
116,2730.4765100671143,3.862750741648051
