,f,NR
0,377.0,3.2636730413186967
1,397.28859060402687,3.5915466523109814
2,417.5771812080537,3.884776798735743
3,437.86577181208054,4.335106681875729
4,458.1543624161074,4.947652097808245
5,478.44295302013427,5.56329486113448
6,498.7315436241611,5.83902875180415
7,519.020134228188,5.831922056470887
8,539.3087248322148,5.780745563853998
9,559.5973154362416,5.864166973675637
10,579.8859060402685,5.856410806810771
11,600.1744966442953,6.051097649338217
12,620.4630872483222,6.206414327646499
13,640.7516778523491,6.656965897314976
14,661.0402684563759,7.221728566909974
15,681.3288590604027,7.763829443566891
16,701.6174496644296,8.139693596777008
17,721.9060402684564,8.272049562528665
18,742.1946308724832,8.402970513240774
19,762.4832214765102,8.577025381581365
20,782.771812080537,8.820371425923597
21,803.0604026845638,9.293609229896617
22,823.3489932885907,9.910381999758755
23,843.6375838926175,10.964390647909909
24,863.9261744966443,12.260102371457933
25,884.2147651006712,13.184421142080595
26,904.503355704698,13.811709058283483
27,924.7919463087248,14.655788533412704
28,945.0805369127518,15.417907938893862
29,965.3691275167786,16.031454938283858
30,985.6577181208054,16.43511493704048
31,1005.9463087248323,17.286611372078653
32,1026.2348993288592,17.8024854573882
33,1046.523489932886,18.403633869824276
34,1066.8120805369128,18.937367716477638
35,1087.1006711409395,19.010859393816986
36,1107.3892617449665,18.715620768977402
37,1127.6778523489934,18.010994824272686
38,1147.9664429530203,16.522140212960295
39,1168.255033557047,15.718579126068619
40,1188.543624161074,14.768626312096217
41,1208.8322147651006,14.082680608419125
42,1229.1208053691275,13.666834737890596
43,1249.4093959731545,13.049234925530683
44,1269.6979865771814,12.29525988101824
45,1289.986577181208,11.568920396832098
46,1310.275167785235,10.89948186688568
47,1330.5637583892617,10.108311948348742
48,1350.8523489932886,9.469823085351607
49,1371.1409395973155,8.688902237920374
50,1391.4295302013425,8.26648007110856
51,1411.7181208053692,8.046000705477923
52,1432.006711409396,7.87925007377163
53,1452.295302013423,7.6588287378283155
54,1472.5838926174497,7.428312491426681
55,1492.8724832214766,7.14467942264082
56,1513.1610738255035,6.866443391809156
57,1533.4496644295302,6.552212863484854
58,1553.7382550335572,6.294115341194868
59,1574.026845637584,5.968682752389782
60,1594.3154362416108,5.858972429292464
61,1614.6040268456377,5.790856928219981
62,1634.8926174496646,5.933425246754794
